uid,gid,player,pa,pc,py,ints,tdp,ra,sra,ry,tdr,trg,rec,recy,tdrec,ret,rety,tdret,fuml,peny,conv,snp,fp,fp2,fp3,game,seas,year,team,posd,jnum,dcp
105505,5060,KB-0150,0,0,0,0,0,5,1,-1,0,1,1,13,0,0,0,0,0,0,0,20,1.2,1.7,2.2,1,2,2019,MIA,RB,27,2
105506,5060,KD-1462,0,0,0,0,0,4,2,12,0,3,2,15,0,0,0,0,0,0,0,27,2.7,3.7,4.7,1,4,2019,MIA,RB,32,1
105507,5060,MB-4075,0,0,0,0,0,0,0,0,0,5,4,147,2,0,0,0,0,0,0,14,26.7,28.7,33.7,1,1,2019,BAL,LWR,15,3
105508,5060,MG-0325,0,0,0,0,0,0,0,0,0,6,2,31,0,0,0,0,0,0,0,34,3.1,4.1,5.1,1,2,2019,MIA,TE,88,1
105509,5060,MA-1050,0,0,0,0,0,0,0,0,0,8,8,108,1,0,0,0,0,0,0,32,16.8,20.8,27.8,1,2,2019,BAL,TE,89,2
105510,5060,WS-0925,0,0,0,0,0,0,0,0,0,3,2,41,1,0,0,0,0,0,0,50,10.1,11.1,12.1,1,6,2019,BAL,LWR,83,1
105511,5060,DP-0350,0,0,0,0,0,0,0,0,0,7,3,75,0,0,0,0,0,0,0,38,7.5,9,10.5,1,5,2019,MIA,LWR,11,1
105512,5060,MB-3325,0,0,0,0,0,0,0,0,0,1,1,5,1,0,0,0,0,0,0,18,6.5,7,7.5,1,1,2019,BAL,RWR,80,3
105513,5060,AH-3900,0,0,0,0,0,0,0,0,0,3,1,22,0,0,0,0,0,0,0,35,2.2,2.7,3.2,1,6,2019,MIA,SWR,17,2
105514,5060,AL-0650,0,0,0,0,0,1,1,60,0,0,0,0,0,0,0,0,0,0,0,14,6,6,6,1,10,2019,BAL,SS,41,2
105515,5060,PR-0125,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,24,6.1,6.6,7.1,1,3,2019,BAL,FB,42,1
105516,5060,JR-3250,3,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1.8,-0.8,-0.8,1,2,2019,MIA,QB,3,2
105517,5060,RG-1850,6,6,55,0,1,4,3,9,0,0,0,0,0,0,0,0,0,0,0,23,7.1,7.1,7.1,1,8,2019,BAL,QB,3,2
105518,5060,MW-0650,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0.1,0.1,0.1,1,2,2019,MIA,RB,22,3
105519,5060,SR-0750,0,0,0,0,0,0,0,0,0,1,1,10,0,0,0,0,0,0,0,52,1,1.5,2,1,6,2019,BAL,RWR,11,1
105520,5061,JA-1087,37,24,254,2,1,10,5,38,1,0,0,0,0,0,0,0,2,0,0,69,15.96,17.96,19.96,1,2,2019,BUF,QB,17,1
105521,5061,CB-1130,0,0,0,0,0,0,0,0,0,9,5,40,0,0,0,0,0,0,0,48,4,6.5,9,1,8,2019,BUF,SWR,10,1
105522,5061,JB-6950,0,0,0,0,0,0,0,0,0,10,7,123,1,0,0,0,0,0,0,59,18.3,21.8,28.3,1,6,2019,BUF,LWR,15,1
105523,5061,PD-0700,0,0,0,0,0,0,0,0,0,2,2,9,0,0,0,0,0,0,0,33,0.9,1.9,2.9,1,9,2019,BUF,FB,42,1
105524,5061,ZJ-0100,0,0,0,0,0,0,0,0,0,5,2,18,0,0,0,0,0,0,0,29,1.8,2.8,3.8,1,3,2019,BUF,RWR,11,1
