pid,punter,pgro,pnet,ptb,pr,pry,pfc
834203,TM-3300,55,55,0,JN-0350,0,1
834227,CJ-1825,54,54,0,,0,0
834236,MB-3000,39,39,0,DS-3300,0,1
834245,MB-3000,42,34,0,DS-3300,8,0
834284,CJ-1825,57,46,0,KB-0350,11,0
834311,CJ-1825,46,40,0,KB-0350,6,0
834336,CJ-1825,52,46,0,KB-0350,6,0
834340,MB-3000,37,37,0,DS-3300,0,1
834394,LE-0025,55,39,0,JL-0215,16,0
834406,LE-0025,51,33,0,JL-0215,18,0
834412,JG-1450,37,37,0,BB-1950,0,1
834421,LE-0025,52,44,0,JL-0215,8,0
834453,JG-1450,40,40,0,BB-1950,0,1
834458,LE-0025,33,33,0,,0,0
834469,LE-0025,49,43,0,JL-0215,6,0
834474,JG-1450,36,36,0,BB-1950,0,1
834479,LE-0025,49,49,0,,0,0
834484,JG-1450,41,36,0,BB-1950,5,0
834499,LE-0025,40,40,0,,0,0
834503,JG-1450,47,47,0,BB-1950,0,1
834534,JG-1450,30,30,0,,0,0
