pid,kicker,kgro,knet,ktb,kr,kry
833631,CB-2275,61,49,0,RP-0550,12
833646,JM-7000,65,40,1,,0
833654,CB-2275,65,40,1,,0
833663,JM-7000,65,40,1,,0
833677,CB-2275,65,40,1,,0
833688,JM-7000,65,40,1,,0
833698,CB-2275,65,40,1,,0
833712,HB-0500,65,40,1,,0
833724,DC-0450,65,40,1,,0
833740,DC-0450,63,45,0,MH-0875,18
833757,HB-0500,65,40,1,,0
833781,HB-0500,66,36,0,DH-1800,30
833795,HB-0500,65,40,1,,0
833802,HB-0500,65,40,1,,0
833809,DC-0450,62,43,0,DT-0850,19
833878,EP-0512,65,40,1,,0
833889,BM-1650,65,40,1,,0
833913,EP-0512,65,40,1,,0
833932,EP-0512,65,40,1,,0
833954,BM-1650,65,40,1,,0
833984,EP-0512,65,40,1,,0
833996,BM-1650,65,40,1,,0
834037,BM-1650,65,40,1,,0
834045,GZ-2000,65,40,1,,0
834060,GZ-2000,65,40,1,,0
834095,WL-0300,65,40,1,,0
834122,GZ-2000,63,38,1,,0
834123,WL-0300,65,40,1,,0
834139,WL-0300,65,40,1,,0
834153,GZ-2000,65,40,1,,0
834164,GZ-2000,65,40,1,,0
834176,WL-0300,65,40,1,,0
834183,GZ-2000,65,40,1,,0
834207,JE-0250,65,40,1,,0
834219,MB-4600,61,36,0,CC-2350,25
834255,JE-0250,65,40,1,,0
834274,MB-4600,62,40,0,CC-2350,22
834298,MB-4600,60,34,0,CC-2350,26
834303,MB-4600,65,36,0,MS-0125,29
834323,JE-0250,65,40,1,,0
834356,JE-0250,65,40,1,,0
834365,MB-4600,56,33,0,MS-0125,23
834378,SF-0050,69,46,0,TT-0150,23
834390,AS-0575,64,50,0,TC-0325,14
834402,AS-0575,65,40,1,,0
834429,AS-0575,65,40,1,,0
834445,SF-0050,65,40,1,,0
834465,AS-0575,61,41,0,TC-0325,20
834495,AS-0575,62,46,0,TC-0325,16
