uid,gid,player,pa,pc,py,ints,ra,sra,ry,trg,rec,recy,fuml,peny
51479,5071,SM-2625,0,0,0,0,2,2,2,0,0,0,0,0
51480,5071,JE-0100,0,0,0,0,0,0,0,1,1,9,0,0
51481,5071,JW-2550,0,0,0,0,0,0,0,1,1,2,0,0
51482,5071,RB-4670,0,0,0,0,3,1,9,1,0,0,0,0
51483,5071,BR-1100,2,0,0,0,1,1,7,0,0,0,0,0
51484,5071,DM-2775,0,0,0,0,0,0,0,2,0,0,0,0
51485,5071,JC-4075,0,0,0,0,1,1,3,0,0,0,0,0
51486,5072,LM-1850,0,0,0,0,1,1,5,1,0,0,0,0
51487,5072,DB-3800,8,4,26,1,0,0,0,0,0,0,0,0
51488,5072,AK-0050,0,0,0,0,1,0,1,2,1,5,0,0
51489,5072,DJ-1850,0,0,0,0,1,1,4,2,2,18,0,0
51490,5072,JA-0462,0,0,0,0,0,0,0,0,0,0,0,10
51491,5072,DW-1725,4,4,36,0,0,0,0,0,0,0,0,0
51492,5072,CH-5000,0,0,0,0,1,1,5,0,0,0,0,0
51493,5072,DH-3950,0,0,0,0,0,0,0,2,2,18,0,0
51494,5072,TH-1625,0,0,0,0,1,1,6,1,1,9,0,0
51495,5072,JH-4070,0,0,0,0,0,0,0,1,1,-2,0,0
51496,5072,TS-2425,0,0,0,0,0,0,0,1,1,14,0,0
51497,5073,JJ-0587,0,0,0,0,8,5,24,0,0,0,0,0
51498,5073,DC-0725,3,3,20,0,1,0,3,0,0,0,0,0
51499,5073,TW-2875,0,0,0,0,0,0,0,1,1,8,0,0
51500,5073,RG-1650,0,0,0,0,0,0,0,1,1,2,0,0
51501,5073,HR-0062,0,0,0,0,0,0,0,1,1,10,0,0
51502,5073,RF-1400,0,0,0,0,2,1,5,0,0,0,0,0
51503,5073,PL-0275,0,0,0,0,3,2,12,0,0,0,0,0
51504,5073,JF-1900,7,4,23,0,1,1,1,0,0,0,0,0
51505,5073,NF-0175,0,0,0,0,0,0,0,1,0,0,0,0
51506,5073,DH-1050,0,0,0,0,0,0,0,1,0,0,0,0
51507,5073,ES-0200,0,0,0,0,0,0,0,3,2,5,0,0
51508,5073,CS-4462,0,0,0,0,0,0,0,2,2,18,0,0
51509,5074,CM-1225,0,0,0,0,2,0,2,1,0,0,0,0
51510,5074,CN-0500,6,1,8,0,0,0,0,0,0,0,0,0
51511,5074,GO-0100,0,0,0,0,0,0,0,1,0,0,0,0
51512,5074,DM-2850,0,0,0,0,0,0,0,3,1,8,0,0
51513,5074,JW-5650,2,1,20,0,0,0,0,0,0,0,0,0
51514,5074,CG-1425,0,0,0,0,0,0,0,1,1,20,0,0
51515,5074,PB-0125,0,0,0,0,3,1,21,0,0,0,0,0
51516,5074,ME-0600,0,0,0,0,0,0,0,1,0,0,0,0
51517,5075,DJ-1325,0,0,0,0,2,1,3,0,0,0,0,0
51518,5075,KM-3500,9,5,45,0,0,0,0,0,0,0,0,0
51519,5075,DB-6375,0,0,0,0,0,0,0,1,1,7,0,0
51520,5075,CE-0175,0,0,0,0,1,0,2,1,1,10,0,0
51521,5075,LF-0200,0,0,0,0,0,0,0,3,0,0,0,0
51522,5075,LJ-0150,2,2,11,0,3,0,-1,0,0,0,0,0
51523,5075,JH-4085,0,0,0,0,0,0,0,1,1,10,0,0
51524,5075,HH-0350,0,0,0,0,0,0,0,1,1,1,0,0
51525,5075,CC-2100,0,0,0,0,0,0,0,1,1,6,0,0
51526,5075,MC-2900,0,0,0,0,0,0,0,1,1,4,0,0
51527,5075,NB-0450,0,0,0,0,0,0,0,0,0,0,0,10
51528,5075,CK-0825,0,0,0,0,0,0,0,1,1,18,0,0
51529,5075,GE-0150,0,0,0,0,1,0,3,0,0,0,0,0
51530,5075,MI-0100,0,0,0,0,2,2,12,0,0,0,0,0
51531,5076,FG-0200,0,0,0,0,4,3,10,0,0,0,0,0
51532,5076,JA-1087,3,1,14,0,2,2,11,0,0,0,0,0
51533,5076,DS-2177,0,0,0,0,1,1,14,0,0,0,0,0
51534,5076,IM-0125,0,0,0,0,0,0,0,1,1,14,0,0
51535,5076,SB-0212,0,0,0,0,2,0,4,0,0,0,0,0
51536,5076,EM-0200,3,3,13,0,0,0,0,0,0,0,0,0
51537,5076,EE-0400,0,0,0,0,0,0,0,1,1,0,0,0
51538,5076,CL-0275,0,0,0,0,0,0,0,1,1,9,0,0
51539,5076,TJ-2350,0,0,0,0,0,0,0,1,1,4,0,0
51540,5076,ZJ-0100,0,0,0,0,0,0,0,1,0,0,0,0
51541,5077,AP-0700,0,0,0,0,3,2,5,1,1,7,0,0
51542,5077,SS-1537,0,0,0,0,1,1,4,0,0,0,0,0
51543,5077,CK-0250,11,8,47,0,0,0,0,0,0,0,0,0
51544,5077,EE-0250,0,0,0,0,5,2,8,0,0,0,0,0
51545,5077,DP-2037,6,6,22,0,1,1,2,0,0,0,0,0
51546,5077,JW-6000,0,0,0,0,0,0,0,2,2,1,0,0
51547,5077,AC-2350,0,0,0,0,0,0,0,1,1,10,0,10
51548,5077,TM-2275,0,0,0,0,0,0,0,5,3,15,0,0
51549,5077,CT-1220,0,0,0,0,1,1,1,1,0,0,0,0
51550,5077,PR-0150,0,0,0,0,0,0,0,1,1,9,0,0
51551,5077,TP-1650,0,0,0,0,1,1,10,1,1,3,0,0
51552,5077,RC-1500,0,0,0,0,0,0,0,1,1,0,0,0
51553,5077,MG-0175,0,0,0,0,0,0,0,1,1,8,0,0
51554,5077,WS-0650,0,0,0,0,0,0,0,2,2,9,0,0
51555,5077,JS-5475,0,0,0,0,0,0,0,0,0,0,0,5
51556,5077,TQ-0100,0,0,0,0,0,0,0,1,1,7,0,0
51557,5078,JB-5725,3,3,19,0,1,1,5,0,0,0,0,0
51558,5078,EE-0050,0,0,0,0,0,0,0,1,1,3,0,0
51559,5078,DH-2450,0,0,0,0,2,1,1,0,0,0,0,0
51560,5078,MM-0912,2,2,12,0,0,0,0,0,0,0,0,0
51561,5078,DJ-0850,0,0,0,0,0,0,0,1,1,11,0,0
51562,5078,DQ-0100,0,0,0,0,0,0,0,1,1,1,0,0
51563,5078,MM-0050,0,0,0,0,1,0,0,0,0,0,0,0
51564,5078,PC-0050,0,0,0,0,0,0,0,1,1,12,0,0
51565,5078,TH-1850,0,0,0,0,0,0,0,1,1,4,0,0
51566,5079,DW-1725,2,0,0,0,1,1,2,0,0,0,0,0
51567,5079,JA-0462,0,0,0,0,0,0,0,1,0,0,0,0
51568,5079,DF-0550,0,0,0,0,0,0,0,1,0,0,0,0
51569,5079,CH-5000,0,0,0,0,2,1,9,0,0,0,0,0
51570,5079,GM-1350,3,2,10,0,1,1,4,0,0,0,0,0
51571,5079,DC-1418,0,0,0,0,0,0,0,2,1,4,0,0
51572,5079,LF-0650,0,0,0,0,0,0,0,1,1,6,0,0
51573,5080,JJ-0575,0,0,0,0,2,1,2,0,0,0,0,0
51574,5080,PR-0300,3,1,10,0,0,0,0,0,0,0,0,0
51575,5080,MW-2825,0,0,0,0,0,0,0,2,0,0,0,0
51576,5080,KA-0650,0,0,0,0,0,0,0,1,1,10,0,0
51577,5080,AE-0550,0,0,0,0,3,2,1,0,0,0,1,0
51578,5081,AR-1300,6,5,46,0,0,0,0,0,0,0,0,0
51579,5081,JW-3650,0,0,0,0,0,0,0,1,1,15,0,0
51580,5081,AJ-1143,0,0,0,0,3,2,11,2,2,13,0,0
51581,5081,DA-0212,0,0,0,0,0,0,0,1,1,6,0,0
51582,5081,GA-0250,0,0,0,0,0,0,0,2,1,12,0,0
51583,5081,DC-3550,0,0,0,0,1,0,0,0,0,0,0,10
51584,5081,KC-2350,3,0,0,1,0,0,0,0,0,0,0,0
51585,5081,SD-0537,0,0,0,0,0,0,0,2,0,0,0,0
51586,5081,KR-1200,0,0,0,0,0,0,0,1,0,0,0,0
51587,5082,TB-2300,7,4,44,0,1,1,1,0,0,0,0,0
51588,5082,AB-3500,0,0,0,0,0,0,0,5,2,28,0,0
51589,5082,SM-2625,0,0,0,0,6,4,15,0,0,0,0,0
51590,5082,JD-1650,0,0,0,0,1,1,1,0,0,0,0,0
51591,5082,JW-2550,0,0,0,0,0,0,0,2,2,16,0,0
51592,5082,JG-2450,0,0,0,0,0,0,0,0,0,0,0,10
51593,5082,RB-4670,0,0,0,0,2,0,0,0,0,0,0,0
51594,5082,JR-3250,1,0,0,1,0,0,0,0,0,0,0,0
51595,5082,MG-0325,0,0,0,0,0,0,0,1,0,0,0,0
51596,5083,AD-0100,4,3,15,0,0,0,0,0,0,0,0,0
51597,5083,TB-2075,0,0,0,0,0,0,0,1,1,8,0,0
51598,5083,AT-0247,0,0,0,0,0,0,0,1,1,6,0,0
51599,5083,JM-5275,0,0,0,0,3,1,4,0,0,0,0,0
