tid,gid,tname,pts,q1p,q2p,q3p,q4p,rfd,pfd,ifd,ry,ra,py,pa,pc,sk,ints,fum,pu,gpy,pr,pry,kr,kry,ir,iry,pen,top,td,tdr,tdp,tdt,fgm,fgat,fgy,rza,rzc,bry,bpy,srp,s1rp,s2rp,s3rp,spp,s1pp,s2pp,s3pp,lea,ley,lta,lty,lga,lgy,mda,mdy,rga,rgy,rta,rty,rea,rey,r1a,r1y,r2a,r2y,r3a,r3y,qba,qby,sla,sly,sma,smy,sra,sry,dla,dly,dma,dmy,dra,dry,wr1a,wr1y,wr3a,wr3y,tea,tey,rba,rby,sga,sgy,p1a,p1y,p2a,p2y,p3a,p3y,spc,mpc,lpc,q1ra,q1ry,q1pa,q1py,lcra,lcry,lcpa,lcpy,rzra,rzry,rzpa,rzpy,sky,lbs,dbs,sfpy,drv,npy,tb,i20,rtd,lnr,lnp,lbr,lbp,dbr,dbp,nha,s3a,s3c,l3a,l3c,stf,dp,fsp,ohp,pbep,dlp,dsp,dum,pfn,snpo,snpd,saf,blk,fp,back0p,back0py,back1p,back1py,back1r,back1ry,back2p,back2py,back2r,back2ry,back3r,back3ry,box4p,box4py,box5p,box5py,box6p,box6py,box6r,box6ry,box7p,box7py,box7r,box7ry,box8r,box8ry,pap,papy,npr,npry,qbp,qbpy,qbhi,qbhiy,qbhu,qbhuy,scrm,scrmy,ttscrm,ttpr,ttsk,pru3,pru3y,pru4,pru4y,pru5,pru5y,pru6,pru6y,blz0p,blz0py,blz1,blz1y,blz2,blz2y,dblz1,dblz1y,spru1,spru1y,oopdes,oopdesy,ooppr,ooppry,oopcl,oopcly,ytg1,ytg2,ytg3,pc1,pc2,pc3,tay1,tay2,tay3,dot1,dot2,dot3,yac1,yac2,yac3,cov0,cov0y,cov1,cov1y,cov2,cov2y,drp
10162,5081,GB,21,14,7,0,0,7,12,1,144,33,191,34,22,2,0,2,8,381,2,0,0,0,2,5,35,34,3,1,2,0,0,0,0,3,3,49,60,18,12,6,0,16,6,5,5,8,35,2,2,4,24,4,18,4,9,3,10,8,46,18,90,11,53,4,1,1,0,7,22,7,69,12,58,3,21,0,0,5,39,15,125,6,37,3,0,10,47,33,168,12,95,12,27,12,69,5,12,5,7,33,10,134,6,25,8,19,3,11,6,46,18,0,0,399,14,336,1,1,0,5,1,16,4.5,5,7.5,3,4,1,9,1,7,0,2,3,1,0,1,2,0,74,65,0,0,10,5,12,30,179,28,127,1,0,5,17,0,0,2,12,2,6,20,83,9,37,9,90,19,97,5,10,12,87,16,137,20,54,9,4,10,15,0,0,0,0,5.9,1,0,23,147,8,33,4,11,24,147,8,33,4,11,5,27,0,0,0,0,0,0,0,0,299,174,123,6,8,8,203,144,184,87,52,79,60,26,29,25,126,11,65,0,0,0
10163,5082,NE,43,7,6,10,20,11,13,3,126,35,255,28,20,2,0,1,3,144,3,9,0,0,4,128,54,36.5,6,2,2,2,1,2,28,4,3,34,75,21,12,7,2,18,11,3,4,3,16,1,4,3,15,14,30,5,19,5,33,3,9,20,77,11,40,3,9,1,1,11,46,5,61,5,52,3,38,2,35,2,32,12,107,8,58,2,33,6,66,23,204,13,160,9,47,8,48,3,8,9,10,33,5,47,0,0,0,0,10,17,7,44,9,0.5,0,368,11,139,0,2,0,4,6.5,6,9,5,9.5,1,2,2,6,3,5,14,1,5,0,0,0,1,0,72,62,0,0,37,6,50,21,156,15,74,3,49,19,52,1,0,2,14,7,46,10,122,13,71,10,50,10,30,11,21,7,77,25,246,5,9,3,-9,0,0,0,0,0,0,7.4,13,77,10,105,5,63,2,10,23,182,5,63,2,10,3,18,0,0,0,0,0,0,0,0,323,121,83,11,5,4,219,130,115,121,72,53,46,32,19,16,134,12,95,2,26,0
10164,5082,MIA,0,0,0,0,0,3,7,1,42,15,142,39,18,7,4,0,7,298,2,5,1,39,0,0,22,23.5,0,0,0,0,0,0,0,1,0,0,24,5,1,2,2,13,7,4,2,1,3,4,3,2,10,1,6,3,9,3,10,1,1,6,9,5,12,4,21,1,6,14,62,6,63,8,20,4,17,2,24,5,0,14,22,8,76,4,41,13,47,42,208,18,66,13,60,15,16,4,9,5,5,2,5,27,0,0,0,0,0,0,1,0,44,1,0,363,13,289,0,2,0,6.5,1,15,3.5,10.5,14.5,10,3,2,10,0,5,0,0,2,0,0,4,0,0,62,72,0,0,3,2,11,40,136,12,39,4,-5,3,3,0,0,2,33,3,-5,29,117,4,24,9,8,8,16,3,2,12,22,29,166,18,-18,10,-44,7,14,0,0,0,0,28.2,3,33,33,109,9,9,2,-3,35,136,7,9,4,-3,1,-4,2,0,0,0,0,0,0,0,238,184,120,7,7,1,331,246,130,227,131,76,24,12,7,26,89,19,53,1,0,4
10165,5083,SF,41,14,10,10,7,13,14,0,259,42,313,26,18,0,1,0,2,75,2,4,1,13,1,0,75,32.5,5,2,3,0,2,3,71,5,3,146,215,27,15,9,3,17,7,8,2,8,58,5,52,8,46,4,15,7,29,3,25,5,36,22,119,14,83,4,59,2,10,11,124,1,13,10,74,3,63,0,0,1,39,3,77,13,98,3,54,7,84,19,198,12,175,9,125,5,13,4,7,7,7,39,5,96,0,0,0,0,6,14,5,24,0,0,0,355,12,75,0,1,0,7,5.5,5.5,7,5.5,15.5,0,3,2,4,1,4,0,2,5,1,1,1,1,0,72,70,0,0,7,2,24,19,169,21,164,5,120,19,97,2,-2,1,11,2,0,12,101,6,41,6,111,21,153,14,59,11,214,21,242,6,72,2,39,1,0,0,0,0,0,0,0,0,24,243,4,80,0,0,22,235,4,78,0,0,2,39,1,0,0,0,0,0,0,0,344,193,56,7,8,3,196,150,74,76,66,35,124,86,8,18,288,7,25,1,0,2
10166,5083,CIN,17,7,3,0,7,2,11,1,25,19,291,42,26,4,1,0,5,226,0,0,5,114,1,19,60,27.5,2,0,2,0,1,2,37,3,1,0,168,6,3,1,2,17,6,4,7,3,3,1,-2,6,10,4,4,4,10,1,0,0,0,7,11,8,6,4,8,2,2,8,29,11,108,19,61,2,47,1,60,1,0,21,234,5,20,8,34,8,17,36,285,17,73,14,64,15,148,8,13,5,8,3,8,65,0,0,0,0,4,5,4,15,20,0,0,282,11,222,0,1,0,15,0,7.5,3,14.5,11,0,4,3,8,4,10,0,1,6,1,0,0,0,1,70,72,0,0,-2,2,55,44,236,19,25,0,0,0,0,0,0,6,41,7,8,20,220,5,14,11,21,7,-3,4,5,11,-3,31,210,16,83,8,-12,3,0,0,0,0,0,19.9,0,0,43,292,2,0,2,1,42,290,2,0,2,1,4,1,1,47,0,0,0,0,0,0,236,184,134,8,9,8,228,132,203,120,35,111,50,47,43,27,209,16,68,3,14,2
10167,5084,SEA,28,0,7,14,7,8,15,2,151,33,274,35,29,4,0,2,4,205,2,10,2,23,1,0,93,36,4,1,3,0,0,1,46,2,2,99,80,15,6,6,3,22,11,8,3,0,0,0,0,6,21,15,46,6,47,2,20,1,21,15,66,10,30,5,59,3,25,13,89,8,91,10,92,4,28,0,0,0,0,15,133,7,61,6,63,7,43,57,520,19,131,12,78,8,65,6,17,6,6,45,7,23,9,44,6,62,0,0,2,26,26,0,0,307,12,173,1,1,0,5.5,2,6.5,8.5,3,8.5,5,3,2,8,2,8,0,1,7,0,1,2,1,2,79,57,0,0,3,6,29,33,245,29,151,0,0,1,4,3,-3,3,11,6,54,25,156,14,61,4,58,7,69,7,6,2,-5,31,268,9,21,6,-9,1,0,0,0,0,0,10.3,1,8,15,93,24,198,1,0,14,84,25,205,1,0,15,142,1,6,0,0,0,0,0,0,389,184,126,14,9,6,278,121,110,150,55,66,79,58,14,25,181,14,93,0,0,1
10168,5084,PIT,26,0,10,3,13,5,10,2,81,16,180,34,20,1,1,0,5,224,2,12,0,0,0,0,78,24,3,1,2,0,2,2,74,4,3,37,45,9,5,2,2,15,11,3,1,1,7,1,1,2,27,4,25,3,2,5,19,0,0,10,32,4,19,2,30,1,7,7,47,11,42,10,53,2,0,0,0,4,45,9,84,12,40,8,38,5,25,38,259,14,133,12,23,9,24,7,10,3,4,24,9,20,4,23,3,25,4,12,5,12,7,1,0.5,380,12,214,0,2,0,6,3.5,10.5,3,11.5,22.5,4,1,1,7,1,4,0,0,2,0,0,2,1,1,57,79,0,0,7,5,7,28,169,16,81,2,4,0,0,0,0,1,0,3,6,20,128,3,16,7,39,4,29,9,36,8,61,25,152,10,28,2,-7,2,5,0,0,0,0,4.8,1,0,26,123,9,64,0,0,26,116,9,64,0,0,1,0,4,19,0,0,0,0,0,0,228,105,83,12,5,3,189,192,146,70,78,99,71,17,13,22,110,12,70,1,0,4
10169,5085,KC,28,0,28,0,0,2,18,4,31,22,433,44,30,2,0,1,5,196,6,48,2,37,2,10,114,32.5,4,0,4,0,0,0,0,2,1,0,289,8,5,3,0,26,11,7,8,3,7,2,1,1,3,8,9,2,5,2,0,3,7,12,24,9,8,0,0,0,0,11,51,6,45,11,90,9,138,3,85,4,34,19,221,7,67,10,107,8,48,59,483,17,206,15,104,14,123,7,14,9,4,4,9,35,0,0,0,0,2,2,2,-3,10,1,1,288,12,186,0,1,0,6.5,2,8,7.5,4.5,14.5,0,0,0,11,5,8,0,0,5,2,0,2,0,2,76,65,0,0,11,9,75,34,353,21,30,3,5,1,1,0,0,4,64,16,200,16,82,6,9,10,87,8,14,2,0,15,123,37,410,9,23,3,-1,3,8,0,0,0,0,7.2,3,14,36,364,6,44,1,11,39,378,6,44,1,11,0,0,1,0,0,0,0,0,0,0,290,203,135,11,9,10,390,287,225,269,124,120,53,45,41,26,115,17,291,3,27,0
10170,5085,OAK,10,10,0,0,0,5,12,2,129,19,178,38,23,3,2,0,6,264,2,10,1,30,0,0,52,27.5,1,0,1,0,1,1,28,3,1,73,45,10,7,1,2,19,9,5,5,3,14,2,4,3,9,4,18,3,13,3,60,1,0,10,88,4,8,5,22,2,18,9,45,7,36,16,98,2,19,1,0,2,0,12,44,8,30,12,96,5,28,40,195,16,83,15,28,10,67,5,14,4,6,22,12,71,0,0,0,0,4,15,5,19,20,0,0,278,11,216,0,3,0,11.5,2.5,5,4,4.5,21.5,5,5,2,6,1,5,0,3,2,0,2,2,1,0,65,76,0,0,3,2,-2,38,180,15,114,1,0,4,15,0,0,1,20,2,-7,25,81,9,92,10,67,7,35,2,-1,8,47,30,158,13,38,6,-10,2,6,0,0,0,0,9.7,3,20,31,92,5,48,4,36,31,101,6,41,4,36,3,13,2,6,0,0,0,0,0,0,254,129,103,10,7,6,188,174,150,80,78,66,68,28,27,30,153,11,25,0,0,3
10171,5086,CHI,16,0,6,7,3,7,7,4,153,29,120,27,16,0,0,0,5,287,1,7,0,0,1,8,65,27,1,1,0,0,3,3,145,1,1,72,25,14,6,6,2,11,4,5,2,3,62,2,9,2,8,15,45,4,16,2,3,1,4,15,83,10,53,4,11,1,8,11,36,2,18,10,41,1,0,1,25,2,0,10,54,0,0,9,53,8,13,39,311,10,32,9,45,8,43,6,7,3,9,27,5,26,3,8,10,41,6,18,0,0,0,0,0,205,10,252,0,2,0,6.5,2,10,15,7.5,18,3,2,1,6,1,6,0,0,2,0,1,2,2,0,61,82,0,0,5,3,0,23,114,27,147,1,6,2,6,0,0,2,24,4,0,14,67,15,119,7,29,8,26,6,8,8,8,21,115,6,5,2,5,4,5,0,0,0,0,0,4,33,8,41,14,46,1,0,12,74,14,46,1,0,3,11,0,0,0,0,0,0,0,0,256,149,84,5,7,3,152,106,127,70,37,81,22,36,12,19,112,8,8,0,0,2
10172,5086,DEN,14,3,0,0,11,5,19,3,90,24,282,50,35,2,1,0,5,200,4,35,0,0,0,0,81,33,1,0,1,0,2,2,75,3,1,26,45,12,7,5,0,26,13,7,6,2,3,8,28,0,0,8,29,0,0,5,33,1,-3,13,57,10,27,1,6,0,0,17,69,5,39,24,132,2,24,1,21,0,0,19,131,6,15,10,61,14,78,48,273,21,146,14,62,16,67,12,17,5,5,13,8,42,6,27,21,112,2,6,10,30,10,0,0,221,9,173,1,3,0,13.5,1,8,1,6.5,13,13,3,2,9,2,6,0,0,7,1,0,3,1,0,82,61,0,0,1,7,38,40,209,21,86,5,35,3,4,0,0,1,7,5,22,33,223,11,53,13,30,12,37,1,0,9,29,34,224,18,58,7,3,9,37,0,0,0,0,6.5,2,0,38,232,9,45,3,5,38,232,11,45,3,5,9,25,4,18,0,0,0,0,0,0,355,170,113,18,8,6,282,132,195,109,57,98,81,20,27,31,211,19,71,2,0,2
10173,5087,NO,9,0,3,3,3,2,11,2,57,20,187,35,20,2,1,0,5,244,3,34,0,0,0,0,87,29.5,0,0,0,0,3,3,128,1,0,12,28,10,8,2,0,14,5,5,4,3,15,1,5,0,0,5,8,5,13,4,8,2,8,14,49,4,7,2,1,2,5,6,24,12,100,12,79,0,0,1,0,1,0,13,89,4,42,7,25,5,31,35,151,9,76,16,58,12,53,4,10,6,6,3,9,53,0,0,0,0,1,4,2,0,16,0,0,298,10,202,0,3,0,12.5,3.5,4.5,5.5,8,12,0,1,0,12,3,5,0,2,6,1,1,2,1,1,65,70,0,0,5,9,31,28,156,13,21,0,0,7,36,0,0,5,32,15,58,15,78,2,9,2,19,9,37,7,4,4,58,23,95,15,93,4,16,6,7,0,0,0,0,6.4,2,5,34,171,3,16,0,0,34,171,3,16,0,0,1,0,0,0,0,0,0,0,0,0,260,201,139,6,9,5,124,207,192,63,75,107,43,44,16,20,126,15,61,2,0,3
10174,5087,LA,27,3,3,14,7,7,11,2,115,30,265,28,19,3,0,1,4,199,2,42,0,0,1,0,65,30.5,3,2,1,0,2,2,46,6,3,45,150,15,10,2,3,13,3,8,2,8,37,4,17,1,2,5,8,1,8,2,5,6,41,19,81,3,25,5,12,1,1,9,89,7,68,9,63,1,0,1,57,1,0,15,221,0,0,8,42,5,14,18,190,8,38,16,105,7,116,6,6,7,6,19,6,45,0,0,0,0,8,16,7,24,18,1,0,317,11,165,0,0,0,3.5,1,10,6,6.5,14,4,4,4,6,1,6,0,2,2,1,0,1,1,1,70,65,0,0,8,8,117,23,148,27,118,0,0,0,0,3,-3,1,-8,8,168,17,111,7,38,4,-8,14,70,8,7,12,86,13,138,18,127,6,56,4,36,0,0,0,0,10.3,2,8,23,136,6,121,0,0,25,144,6,121,0,0,0,0,0,0,0,0,0,0,0,0,267,197,100,4,12,3,112,196,109,49,84,74,12,61,68,21,174,10,91,0,0,2
10175,5088,PHI,20,0,6,6,8,5,11,2,49,21,237,48,28,3,2,1,4,209,1,8,5,125,3,14,60,33,2,1,1,0,2,2,75,5,2,0,43,7,2,3,2,22,8,5,9,1,0,5,11,4,12,0,0,5,10,4,14,2,2,10,18,9,24,2,7,3,3,17,90,6,10,17,95,2,43,1,17,4,0,11,107,12,54,16,72,8,22,67,305,17,54,15,58,19,125,8,15,5,6,17,5,16,6,10,20,125,5,9,12,16,18,0,1,424,11,197,0,1,0,7,1,3.5,3.5,5.5,19.5,1,4,4,11,3,4,0,1,5,1,1,0,1,0,81,66,0,0,9,2,0,49,237,21,49,0,0,0,0,0,0,10,61,13,46,26,112,7,17,1,6,10,20,3,8,4,45,33,173,18,64,10,42,8,66,0,0,0,0,12.2,4,20,42,177,4,40,1,0,46,197,4,40,1,0,5,40,1,16,0,0,0,0,0,0,274,192,108,8,9,8,232,204,265,117,84,172,19,38,26,26,127,23,67,2,43,4
10176,5088,ATL,24,3,7,7,7,3,15,1,57,17,310,43,27,1,3,0,3,118,3,12,0,0,2,10,58,27,3,0,3,0,1,2,50,2,1,28,143,8,5,3,0,22,11,7,4,2,15,4,33,4,-3,0,0,2,8,2,7,2,-2,11,30,5,28,0,0,1,4,13,94,5,65,15,81,3,19,4,34,3,27,17,122,12,105,7,38,7,55,33,287,16,132,17,51,11,127,9,11,7,7,9,12,56,1,4,8,57,2,5,2,4,10,0,0,281,12,110,0,0,0,8,3,8,8.5,4,18.5,4,0,0,8,2,4,0,3,5,0,1,2,0,0,66,81,0,0,8,7,109,33,161,12,59,4,40,4,-1,1,-1,5,14,6,58,13,132,1,28,14,73,12,22,4,7,11,75,28,244,17,70,5,17,7,9,0,0,0,0,2.5,1,0,33,243,7,20,4,51,32,239,7,14,5,57,6,12,2,27,0,0,0,0,0,0,289,150,88,12,9,5,235,248,229,120,122,155,68,32,9,22,186,18,105,4,19,1
10177,5089,CLE,23,6,10,7,0,3,10,3,70,21,305,35,19,3,1,0,6,231,4,48,1,23,0,0,85,29.5,2,1,1,0,3,3,114,2,1,34,245,6,4,2,0,13,4,5,4,3,9,4,36,0,0,7,7,3,12,2,7,2,-1,14,52,6,12,1,6,0,0,13,58,5,69,5,42,4,48,2,25,3,54,17,164,4,50,3,4,8,78,41,361,11,84,14,101,12,91,5,7,7,8,24,12,77,0,0,0,0,2,18,2,0,20,0,1,403,13,226,0,4,0,8,5.5,8,9.5,8,11,0,1,0,8,3,8,0,0,1,5,3,0,2,1,69,68,0,0,13,4,44,32,255,21,70,1,6,0,0,0,0,1,10,2,13,20,158,6,28,13,118,8,32,6,2,8,93,21,271,16,34,5,6,7,21,0,0,0,0,14.2,2,27,22,114,11,158,2,6,24,141,11,158,2,6,4,44,8,42,0,0,0,0,0,0,249,190,107,5,7,7,204,209,208,120,111,103,92,37,39,22,183,14,101,1,21,2
10178,5089,NYJ,3,0,3,0,0,4,6,3,93,24,169,31,23,4,0,1,7,329,1,5,3,50,1,13,89,30.5,0,0,0,0,1,1,46,1,0,25,86,10,7,3,0,9,5,2,2,1,8,0,0,2,2,15,63,3,0,2,15,1,5,13,57,8,22,3,14,0,0,8,38,6,39,12,58,2,30,0,0,2,36,14,126,2,-1,1,0,13,76,46,292,11,71,11,27,13,71,12,5,6,3,11,7,-4,0,0,0,0,1,4,3,5,32,2.5,0,216,12,281,0,0,0,9,2,6,9,5,10,4,3,0,9,0,9,0,2,4,2,2,2,1,0,68,69,0,0,5,2,2,27,123,23,89,6,44,0,0,0,0,3,18,2,0,19,130,11,44,9,38,7,21,3,7,8,40,22,174,13,-5,7,-12,5,19,0,0,0,0,11.7,0,0,25,158,9,21,1,-10,25,158,9,21,1,-10,7,-4,1,3,0,0,0,0,0,0,250,178,154,7,7,7,126,104,146,59,43,50,43,36,47,25,116,9,47,1,6,1
