uid,pid,ptm,pen,desc,cat,pey,act
75553,831738,NO,DH-1487,Invalid Fair Catch Signal,8,5,A
75554,831750,NO,CG-0275,Roughing the Kicker,6,8,A
75555,831766,OAK,DG-1450,False Start,1,5,A
75556,831781,OAK,RH-3200,Offensive Holding,2,10,A
75557,831786,DEN,NF-0175,Illegal Block Above the Waist,7,10,A
75558,831791,OAK,JA-0112,Illegal Contact,5,5,A
75559,831792,DEN,RL-0350,Offensive Holding,2,10,A
75560,831794,OAK,CF-0362,Neutral Zone,4,5,A
75561,831797,OAK,TW-1750,Offensive Holding,2,5,A
75562,831798,OAK,JD-1750,False Start,1,2,A
75563,831799,OAK,TB-3250,False Start,1,1,A
75564,831818,DEN,RL-0350,False Start,1,5,A
75565,831822,DEN,ES-0200,Illegal Formation,3,5,A
75566,831824,OAK,GC-0850,Defensive Pass Interference,5,15,A
75567,831827,DEN,NF-0175,Offensive Holding,2,10,A
75568,831841,DEN,GB-0650,Offensive Holding,2,0,D
75569,831853,OAK,JA-0112,Lowering the Head to Initiate Contact,8,14,A
75570,831865,DEN,DB-1250,Illegal Block Above the Waist,7,4,A
75571,831891,OAK,AK-0337,Defensive Offside,4,0,D
75572,831908,TB,DS-3037,Offensive Holding,2,0,D
75573,831939,TB,,Offensive Too Many Men on Field,8,5,A
75574,831943,TB,RN-1300,Neutral Zone,4,4,A
75575,831946,CAR,TM-3350,Offensive Holding,2,10,A
75576,831947,CAR,TM-3350,False Start,1,5,A
75577,831950,TB,JD-1175,Illegal Block Above the Waist,7,10,A
75578,831951,TB,DD-2300,False Start,1,5,A
75579,831954,TB,DS-3037,False Start,1,5,A
75580,831966,TB,OH-0250,Offensive Pass Interference,2,10,A
75581,831998,TB,OH-0250,False Start,1,4,A
75582,832001,CAR,RC-1550,Offensive Holding,2,10,A
75583,832011,CAR,GM-0500,Unnecessary Roughness,6,15,A
75584,832020,TB,CD-0687,Defensive Holding,5,5,A
75585,832033,CAR,CS-0050,Offensive Pass Interference,2,10,A
75586,832034,CAR,DW-3450,Offensive Holding,2,0,D
75587,832037,TB,,Delay of Game,3,1,A
75588,832041,TB,SB-0225,Neutral Zone,4,5,A
75589,832071,TB,CD-0687,Face Mask,6,11,A
75590,832071,TB,CD-0687,Defensive Pass Interference,5,0,D
