uid,gid,fpid,tname,drvn,obt,qtr,min,sec,yfog,plays,succ,rfd,pfd,ofd,ry,ra,py,pa,pc,peyf,peya,net,res
118170,5072,831694,NO,6,KOFF,3,5,41,25,11,9,2,4,0,20,4,55,7,6,15,0,75,TD
118171,5072,831707,HOU,6,KOFF,3,0,51,16,3,0,0,0,0,2,1,0,2,0,0,15,2,INT
118172,5072,831710,NO,7,INT,3,1,53,51,4,3,1,1,0,26,1,21,3,3,0,0,49,TD
118173,5072,831716,HOU,7,KOFF,4,4,8,25,6,2,1,1,0,18,1,0,5,3,0,0,18,PUNT
118174,5072,831724,NO,8,PUNT,4,3,3,28,4,1,1,0,0,33,3,-8,1,0,0,10,15,PUNT
118175,5072,831730,HOU,8,PUNT,4,4,15,4,7,3,1,1,0,36,3,9,4,1,0,4,41,PUNT
118176,5072,831739,NO,9,PUNT,4,2,39,7,8,4,1,1,0,17,5,47,2,2,0,0,64,FG
118177,5072,831748,HOU,9,KOFF,4,0,13,25,2,2,0,2,0,0,0,75,2,2,8,0,75,TD
118178,5072,831753,NO,10,KOFF,4,0,37,25,6,3,0,2,0,0,0,35,5,3,0,0,35,FG
118179,5073,831760,OAK,1,KOFF,1,6,8,28,10,8,1,4,0,19,5,58,5,5,0,5,72,TD
118180,5073,831773,DEN,1,KOFF,1,2,17,25,3,0,0,0,0,-5,1,11,2,2,0,0,6,PUNT
118181,5073,831777,OAK,2,PUNT,1,4,6,14,7,2,0,2,0,3,1,41,6,5,0,10,34,PUNT
118182,5073,831786,DEN,2,PUNT,1,5,24,20,8,2,0,2,0,9,4,38,4,2,10,20,37,PUNT
118183,5073,831798,OAK,3,PUNT,2,8,35,5,13,9,3,2,0,19,7,79,6,6,0,3,95,TD
118184,5073,831815,DEN,3,KOFF,2,3,30,25,11,6,1,1,1,11,2,23,8,4,15,20,29,MFG
118185,5073,831831,DEN,4,KOFF,3,5,40,25,12,6,1,2,0,27,6,40,5,3,0,0,67,FG
118186,5073,831844,OAK,4,KOFF,3,2,17,25,3,1,0,0,0,3,2,6,1,1,0,0,9,PUNT
118187,5073,831848,DEN,5,PUNT,3,3,21,24,10,6,2,1,0,50,6,4,3,1,14,0,68,FG
118188,5073,831859,OAK,5,KOFF,3,2,24,25,6,3,1,0,0,18,2,8,4,1,0,0,26,PUNT
118189,5073,831866,DEN,6,PUNT,3,1,27,5,3,1,0,0,0,-2,1,9,2,1,0,0,7,PUNT
118190,5073,831870,OAK,6,PUNT,4,2,59,40,5,3,1,2,0,3,2,57,3,3,0,0,60,TD
118191,5073,831877,DEN,7,KOFF,4,3,13,25,6,2,0,1,0,4,2,50,3,2,0,0,54,FG
118192,5073,831884,OAK,7,KOFF,4,4,1,70,6,3,1,0,0,19,5,0,0,0,0,0,19,FG
118193,5073,831891,DEN,8,KOFF,4,2,23,25,8,6,0,4,0,1,1,74,7,6,0,0,75,TD
118194,5073,831901,OAK,8,KOFF,4,2,15,25,5,2,1,1,0,14,4,10,1,1,0,0,24,ENDQ
118195,5074,831907,TB,1,KOFF,1,1,59,25,4,1,0,1,0,-4,1,22,3,2,0,0,18,PUNT
118196,5074,831912,CAR,1,PUNT,1,4,30,10,9,4,1,2,0,16,5,27,4,4,0,0,43,DWNS
118197,5074,831921,TB,2,DWNS,1,2,55,47,6,2,0,1,0,10,3,22,2,1,0,0,32,FG
118198,5074,831928,CAR,2,KOFF,1,2,44,25,8,3,0,2,0,2,1,59,6,3,0,0,61,FG
118199,5074,831937,TB,3,KOFF,1,2,12,25,3,1,0,0,0,2,1,12,2,2,0,5,9,PUNT
118200,5074,831942,CAR,3,PUNT,1,3,8,22,6,2,1,0,0,14,4,0,2,0,4,15,3,PUNT
118201,5074,831951,TB,4,PUNT,2,2,37,22,3,0,0,0,0,-2,1,8,2,1,0,10,-4,PUNT
118202,5074,831957,CAR,4,PUNT,2,1,29,58,5,2,0,1,0,0,0,23,4,2,0,0,23,FG
118203,5074,831963,TB,5,KOFF,2,2,52,25,5,3,1,0,0,13,2,16,3,2,0,10,19,PUNT
118204,5074,831970,CAR,5,PUNT,2,1,47,7,4,1,0,1,0,2,1,11,3,1,0,0,13,PUNT
118205,5074,831975,TB,6,PUNT,2,2,27,28,5,4,0,3,0,6,2,66,3,3,0,0,72,TD
118206,5074,831982,CAR,6,KOFF,2,1,20,25,9,4,0,3,0,-2,1,41,7,4,0,0,39,FG
118207,5074,831992,CAR,7,KOFF,3,1,38,25,4,1,0,1,0,0,0,25,4,1,0,0,25,PUNT
118208,5074,831997,TB,7,PUNT,3,2,1,8,3,0,0,0,0,1,2,0,1,0,0,4,-3,PUNT
118209,5074,832002,CAR,8,PUNT,3,3,30,38,6,1,0,1,0,0,2,29,3,1,0,0,29,FG
118210,5074,832009,TB,8,KOFF,3,3,31,25,7,4,3,2,1,36,5,24,2,1,15,0,75,TD
118211,5074,832018,CAR,9,KOFF,3,1,26,25,4,1,0,1,0,3,2,11,2,1,5,0,19,FUM
118212,5074,832023,TB,9,FUM,3,2,54,55,7,2,1,1,1,11,3,10,3,1,0,0,21,MFG
118213,5074,832030,CAR,10,MFG,4,1,23,32,4,2,0,1,0,0,0,26,4,2,0,10,16,PUNT
118214,5074,832036,TB,10,PUNT,4,0,16,3,2,0,0,0,0,-2,1,0,1,0,0,1,-3,SAF
118215,5074,832040,CAR,11,KOFF,4,1,42,46,4,1,0,0,0,4,2,0,2,0,5,0,9,DWNS
118216,5074,832045,TB,11,DWNS,4,2,15,46,3,0,0,0,0,0,0,-15,3,1,0,0,-15,PUNT
118217,5074,832049,CAR,12,PUNT,4,0,26,21,3,0,0,0,0,0,0,0,3,0,0,0,0,PUNT
118218,5074,832053,TB,12,PUNT,4,6,32,33,11,5,1,2,0,29,7,24,3,2,0,0,53,FG
118219,5074,832065,CAR,13,KOFF,4,1,4,25,11,5,0,4,1,0,1,61,10,6,12,0,73,DWNS
118220,5074,832077,TB,13,DWNS,4,1,22,2,3,0,0,0,0,0,3,0,0,0,0,0,0,ENDQ
118221,5075,832081,ARI,1,KOFF,1,2,58,25,5,2,1,0,0,10,2,9,3,3,0,0,19,PUNT
118222,5075,832087,BAL,1,PUNT,1,3,56,6,7,6,1,4,0,20,2,74,5,5,0,0,94,TD
118223,5075,832096,ARI,2,KOFF,1,1,34,23,3,0,0,0,0,2,2,0,1,0,0,0,2,PUNT
118224,5075,832100,BAL,2,PUNT,1,1,58,50,4,1,0,0,0,1,2,6,2,1,0,0,7,DWNS
118225,5075,832104,ARI,3,DWNS,1,2,16,43,7,4,0,2,0,2,1,51,5,4,0,0,53,FG
118226,5075,832112,BAL,3,KOFF,1,3,11,25,9,3,2,1,0,31,3,29,5,2,0,0,60,FG
118227,5075,832122,ARI,4,KOFF,2,5,36,14,13,6,0,3,0,-1,2,89,10,8,0,5,83,FG
118228,5075,832137,BAL,4,KOFF,2,4,42,15,9,7,2,4,0,30,4,55,5,4,15,0,85,TD
