gid,pid,off,def,type,dseq,len,qtr,min,sec,ptso,ptsd,timo,timd,dwn,ytg,yfog,zone,fd,sg,nh,pts,tck,sk,pen,ints,fum,saf,blk,eps,epa
5058,829346,GB,CHI,NOPL,1,6,3,13,17,7,3,3,3,2,7,37,2,0,0,0,0,0,0,1,0,0,0,0,1.37,-1.19
5058,829347,GB,CHI,NOPL,1,7,3,13,11,7,3,3,3,2,17,27,2,1,0,0,0,0,0,1,0,0,0,0,0.18,3.36
5058,829348,GB,CHI,PASS,2,5,3,13,4,7,3,3,3,1,10,65,4,0,0,0,0,0,0,0,0,0,0,0,3.54,-0.59
5058,829349,GB,CHI,PASS,3,43,3,12,59,7,3,2,3,2,10,65,4,0,1,0,0,1,0,0,0,0,0,0,2.95,-0.08
5058,829350,GB,CHI,NOPL,3,33,3,12,16,7,3,2,3,3,5,70,4,0,0,0,0,0,0,1,0,0,0,0,2.87,-1.06
5058,829351,GB,CHI,PASS,4,45,3,11,43,7,3,2,3,3,15,60,4,0,1,0,0,0,1,0,0,0,0,0,1.81,-1.52
5058,829352,CHI,GB,PUNT,0,7,3,10,58,3,7,3,2,4,22,53,3,0,0,0,0,0,0,0,0,0,0,0,0.29,0.01
5058,829353,CHI,GB,RUSH,1,20,3,10,51,3,7,3,2,1,10,10,1,0,1,0,0,1,0,0,0,0,0,0,-0.3,0.55
5058,829354,CHI,GB,RUSH,2,44,3,10,31,3,7,3,2,2,2,18,1,0,1,1,0,1,0,0,0,0,0,0,0.25,-0.02
5058,829355,CHI,GB,PASS,3,37,3,9,47,3,7,3,2,3,1,19,1,0,1,0,0,0,1,0,0,0,0,0,0.23,-1.54
5058,829356,GB,CHI,PUNT,0,9,3,9,10,7,3,2,3,4,1,19,1,0,0,0,0,0,0,0,0,0,0,0,-1.31,-0.86
5058,829357,GB,CHI,RUSH,1,45,3,9,1,7,3,2,3,1,10,42,3,0,1,0,0,1,0,0,0,0,0,0,2.17,-0.59
5058,829358,GB,CHI,PASS,2,49,3,8,16,7,3,2,3,2,10,42,3,0,1,0,0,0,1,0,0,0,0,0,1.58,-1.27
5058,829359,GB,CHI,PASS,3,44,3,7,27,7,3,2,3,3,15,37,2,0,1,0,0,1,0,0,0,0,0,0,0.31,-1.39
5058,829360,CHI,GB,PUNT,0,13,3,6,43,3,7,3,2,4,20,32,2,0,0,0,0,0,0,0,0,0,0,0,-1.08,0.35
5058,829361,CHI,GB,PASS,1,49,3,6,30,3,7,3,2,1,10,23,2,1,1,0,0,1,0,0,0,0,0,0,0.73,1.64
5058,829362,CHI,GB,NOPL,1,16,3,5,41,3,7,3,2,1,10,45,3,0,0,0,0,0,0,1,0,0,0,0,2.37,-0.55
