gid,pid,detail,off,def,type,dseq,len,qtr,min,sec,ptso,ptsd,timo,timd,dwn,ytg,yfog,zone,yds,succ,fd,sg,nh,pts,bc,kne,dir,rtck1,rtck2,psr,comp,spk,loc,trg,dfb,ptck1,ptck2,sk1,sk2,ptm1,pen1,desc1,cat1,pey1,act1,ptm2,pen2,desc2,cat2,pey2,act2,ptm3,pen3,desc3,cat3,pey3,act3,ints,iry,fum,frcv,fry,forc,fuml,saf,blk,brcv,fgxp,fkicker,dist,good,punter,pgro,pnet,ptb,pr,pry,pfc,kicker,kgro,knet,ktb,kr,kry,eps,epa
5058,829285,"E.Pineiro kicks 59 yards from CHI 35 to GB 6, out of bounds.",GB,CHI,KOFF,0,6,1,4,9,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EP-0512,59,25,,,,0,0
5058,829286,(4:09) A.Rodgers pass incomplete short middle to D.Adams (P.Amukamara).,GB,CHI,PASS,1,30,1,4,9,0,3,3,3,1,10,40,2,,,,,,,,,,,,AR-1300,,,SM,DA-0212,PA-0300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.04,-0.57
5058,829287,"(4:07) (No Huddle, Shotgun) A.Rodgers pass short right to D.Adams to GB 45 for 5 yards (K.Fuller).",GB,CHI,PASS,2,42,1,4,7,0,3,3,3,2,10,40,2,5,,,Y,Y,,,,,,,AR-1300,Y,,SR,DA-0212,,KF-0500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47,-0.08
5058,829288,(3:25) (Shotgun) A.Rodgers pass incomplete short left to D.Adams.,GB,CHI,PASS,3,5,1,3,25,0,3,3,3,3,5,45,3,,,,Y,,,,,,,,AR-1300,,,SL,DA-0212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39,-1.41
5058,829289,"(3:20) (Punt formation) J.Scott punts 47 yards to CHI 8, Center-H.Bradley, fair catch by T.Cohen. PENALTY on CHI-J.Iyiegbuniwe, Offensive Holding, 4 yards, enforced at CHI 8.",CHI,GB,PUNT,0,7,1,3,20,3,0,3,3,4,5,45,3,,,,,,,,,,,,,,,,,,,,,,CHI,JI-1000,Offensive Holding,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,JS-1250,47,47,,TC-1975,,Y,,,,,,,-0.02,0.75
5058,829290,(3:13) (Shotgun) M.Davis right guard to CHI 5 for 1 yard (Z.Smith).,CHI,GB,RUSH,1,41,1,3,13,3,0,3,3,1,10,4,1,1,,,Y,,,MD-0150,,RG,ZS-0075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.73,-0.47
5058,829291,(2:32) (Shotgun) M.Trubisky pass short middle to A.Robinson to CHI 10 for 5 yards (R.Greene; J.Alexander).,CHI,GB,PASS,2,42,1,2,32,3,0,3,3,2,9,5,1,5,,,Y,,,,,,,,MT-1800,Y,,SM,AR-1250,,JA-0475,RG-1818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2,0.17
5058,829292,"(1:50) (Shotgun) M.Trubisky pass incomplete short left to C.Patterson. PENALTY on GB-T.Williams, Defensive Pass Interference, 6 yards, enforced at CHI 10 - No Play.",CHI,GB,NOPL,2,4,1,1,50,3,0,2,3,3,4,10,1,,,Y,,,,,,,,,,,,,,,,,,,GB,TW-2700,Defensive Pass Interference,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.03,1.18
5058,829293,(1:46) (Shotgun) M.Trubisky pass short middle to A.Shaheen to CHI 22 for 6 yards (T.Brown).,CHI,GB,PASS,3,41,1,1,46,3,0,2,3,1,10,16,1,6,Y,,Y,,,,,,,,MT-1800,Y,,SM,AS-0775,,TB-3150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.22
5058,829294,(1:05) (Shotgun) D.Montgomery left tackle to CHI 28 for 6 yards (T.Brown; K.Fackrell).,CHI,GB,RUSH,4,43,1,1,5,3,0,2,3,2,4,22,2,6,Y,Y,Y,,,DM-2787,,LT,KF-0050,TB-3150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,0.77
